timestamp,author_x,message_x,author_y,message_y
2024-09-10 20:57:37,Joseph Demarco,Democrats lie and cheat to win because they want to sell out America,Joseph Demarco,Democrats lie and cheat to win because they want to sell out America
2024-09-10 20:57:42,Lora,Jan 6 peaceful wow are blind ,Lora,Jan 6 peaceful wow are blind 
2024-09-10 20:57:43,J Rizzo,Kamala’s debate prep: sleeping with the whole studio crew,J Rizzo,Kamala’s debate prep: sleeping with the whole studio crew
2024-09-10 20:57:50,Jim Wilson,we learned we should have come armed,Jim Wilson,we learned we should have come armed
2024-09-10 20:57:52,Emanuel N,Just pointing out the ways TRUMP wants to control all 3 branches of GOVERNMENT,Emanuel N,Just pointing out the ways TRUMP wants to control all 3 branches of GOVERNMENT
2024-09-10 20:57:57,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes:,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 20:57:58,Curt ,black lives SPLATTER,Curt ,black lives SPLATTER
2024-09-10 20:58:09,Wen Lambo ??,Jan 6th was a democrat setup and they killed ashley babbitt,Wen Lambo ??,Jan 6th was a democrat setup and they killed ashley babbitt
2024-09-10 20:58:13,Emanuel N,Chocolate when you say something at least back it up,Emanuel N,Chocolate when you say something at least back it up
2024-09-10 20:58:17,BoochieKat,Harris Walz 2024!!,BoochieKat,Harris Walz 2024!!
2024-09-10 20:58:18,Highwayrobbr,JIM WILL BE GETTING A VISIT SOON,Highwayrobbr,JIM WILL BE GETTING A VISIT SOON
2024-09-10 20:58:24,Kaiden9226,I didn’t see 2 billion dollars worth of damage or 30+ people die during J6,Charlie Beehr,Tim walz ate Harris already
2024-09-10 20:58:24,Charlie Beehr,Tim walz ate Harris already,Charlie Beehr,Tim walz ate Harris already
2024-09-10 20:58:27,Lora,Rizzo that slander and you are full of it,Lora,Rizzo that slander and you are full of it
2024-09-10 20:58:30,Ella Barajas , Let’s go ,Ella Barajas , Let’s go 
2024-09-10 20:58:34,Wen Lambo ??,they shot that AMERICAN PATRIOT in her face,Wen Lambo ??,they shot that AMERICAN PATRIOT in her face
2024-09-10 20:58:38,Jim Wilson,bring it,4Running Free,summer of love? Lora?
2024-09-10 20:58:38,4Running Free,summer of love? Lora?,4Running Free,summer of love? Lora?
2024-09-10 20:58:47,Great to be back ,:popcorn::cup_with_straw::thumbs_up:,Great to be back ,:popcorn::cup_with_straw::thumbs_up:
2024-09-10 20:58:54,Joseph Demarco,stolen valor Tim,Joseph Demarco,stolen valor Tim
2024-09-10 20:58:58,Benjamin Shelton,for serious though we need a constitutional amendment for term limits for all members of Congress so speak to all your state and federal representatives and demand term limits,Benjamin Shelton,for serious though we need a constitutional amendment for term limits for all members of Congress so speak to all your state and federal representatives and demand term limits
2024-09-10 20:59:03,Highwayrobbr,MAGA MEMA IS DOING HARD TIME FOR MEMES,Highwayrobbr,MAGA MEMA IS DOING HARD TIME FOR MEMES
2024-09-10 20:59:04,Captain Willard,Harris will crumble ,Captain Willard,Harris will crumble 
2024-09-10 20:59:04,Keller Kildee,The United States Media is allegedly biased against Joe Bis,Captain Willard,Harris will crumble 
2024-09-10 20:59:07,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes::face-purple-wide-eyes:,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes::face-purple-wide-eyes:
2024-09-10 20:59:08,Phillip Whitley,show time :raising_hands: #MAGA,Phillip Whitley,show time :raising_hands: #MAGA
2024-09-10 20:59:16,BoochieKat,this music is hella dramatic,BoochieKat,this music is hella dramatic
2024-09-10 20:59:22,steve r,i would really like to believe Americans are smart enough to see Trump for the TRAITOR he is to AMERICA....,steve r,i would really like to believe Americans are smart enough to see Trump for the TRAITOR he is to AMERICA....
2024-09-10 20:59:28,Emanuel N,"""I like veterans who don't get captured."" Trump ...talking about Mccain",Emanuel N,"""I like veterans who don't get captured."" Trump ...talking about Mccain"
